treatment,game,round,time,id,side,valuation,bid,price,match_id,match_time,type,status
FullExtNeg,1,1,97,11,Seller,103,130,,,,Manual,Replaced
FullExtNeg,1,1,97,2,Buyer,128,100,100.0,3.0,97.0,Auto,Accepted
FullExtNeg,1,1,105,12,Seller,108,109,,,,Manual,Expired
FullExtNeg,1,1,106,11,Seller,103,140,,,,Manual,Replaced
FullExtNeg,1,1,107,13,Buyer,93,90,,,,Manual,Expired
FullExtNeg,1,1,108,10,Seller,98,100,,,,Manual,Expired
FullExtNeg,1,1,112,11,Seller,103,130,,,,Manual,Replaced
FullExtNeg,1,1,118,12,Seller,108,110,,,,Manual,Expired
FullExtNeg,1,1,121,11,Seller,103,110,,,,Manual,Expired
FullExtNeg,1,1,122,10,Seller,98,100,,,,Manual,Expired
FullExtNeg,1,2,3,4,Seller,83,150,,,,Manual,Expired
FullExtNeg,1,2,4,11,Seller,103,120,,,,Manual,Expired
FullExtNeg,1,2,4,6,Seller,88,130,,,,Manual,Expired
FullExtNeg,1,2,6,0,Seller,68,120,,,,Manual,Expired
FullExtNeg,1,2,7,10,Seller,98,200,,,,Manual,Replaced
FullExtNeg,1,2,7,12,Seller,108,140,,,,Manual,Expired
FullExtNeg,1,2,8,8,Seller,93,120,,,,Manual,Replaced
FullExtNeg,1,2,8,9,Buyer,108,101,101.0,10.0,10.0,Manual,Accepted
FullExtNeg,1,2,10,10,Seller,98,101,101.0,9.0,10.0,Auto,Accepted
FullExtNeg,1,2,15,3,Seller,78,100,,,,Manual,Replaced
FullExtNeg,1,2,16,13,Buyer,93,90,90.0,3.0,17.0,Manual,Accepted
FullExtNeg,1,2,16,8,Seller,93,120,,,,Manual,Expired
FullExtNeg,1,2,16,11,Seller,103,140,,,,Manual,Replaced
FullExtNeg,1,2,17,3,Seller,78,90,90.0,13.0,17.0,Auto,Accepted
FullExtNeg,1,2,21,2,Buyer,128,100,100.0,4.0,22.0,Manual,Accepted
FullExtNeg,1,2,21,12,Seller,108,110,,,,Manual,Expired
FullExtNeg,1,2,21,7,Buyer,113,40,,,,Manual,Expired
FullExtNeg,1,2,22,4,Seller,83,100,100.0,2.0,22.0,Auto,Accepted
FullExtNeg,1,2,25,11,Seller,103,120,,,,Manual,Replaced
FullExtNeg,1,2,26,0,Seller,68,110,,,,Manual,Expired
FullExtNeg,1,2,28,6,Seller,88,150,,,,Manual,Expired
FullExtNeg,1,2,29,5,Buyer,118,50,,,,Manual,Expired
FullExtNeg,1,2,32,11,Seller,103,130,,,,Manual,Expired
FullExtNeg,1,2,32,12,Seller,108,115,,,,Manual,Replaced
FullExtNeg,1,2,33,8,Seller,93,120,,,,Manual,Expired
FullExtNeg,1,2,36,7,Buyer,113,50,,,,Manual,Expired
FullExtNeg,1,2,38,12,Seller,108,109,109.0,5.0,40.0,Manual,Accepted
FullExtNeg,1,2,39,1,Buyer,133,80,,,,Manual,Replaced
FullExtNeg,1,2,40,5,Buyer,118,109,109.0,12.0,40.0,Auto,Accepted
FullExtNeg,1,2,45,1,Buyer,133,85,85.0,0.0,49.0,Manual,Accepted
FullExtNeg,1,2,45,6,Seller,88,110,,,,Manual,Expired
FullExtNeg,1,2,47,11,Seller,103,140,,,,Manual,Replaced
FullExtNeg,1,2,48,8,Seller,93,110,,,,Manual,Expired
FullExtNeg,1,2,49,7,Buyer,113,60,,,,Manual,Expired
FullExtNeg,1,2,49,0,Seller,68,85,85.0,1.0,49.0,Auto,Accepted
FullExtNeg,1,2,56,11,Seller,103,120,,,,Manual,Replaced
FullExtNeg,1,2,59,7,Buyer,113,70,,,,Manual,Expired
FullExtNeg,1,2,59,8,Seller,93,110,,,,Manual,Expired
FullExtNeg,1,2,60,6,Seller,88,100,,,,Manual,Expired
FullExtNeg,1,2,63,11,Seller,103,140,,,,Manual,Replaced
FullExtNeg,1,2,70,11,Seller,103,120,,,,Manual,Expired
FullExtNeg,1,2,73,8,Seller,93,120,,,,Manual,Expired
FullExtNeg,1,2,75,6,Seller,88,90,,,,Manual,Expired
FullExtNeg,1,2,80,7,Buyer,113,80,,,,Manual,Expired
FullExtNeg,1,2,84,8,Seller,93,110,,,,Manual,Expired
FullExtNeg,1,2,86,11,Seller,103,130,,,,Manual,Expired
FullExtNeg,1,2,89,6,Seller,88,89,,,,Manual,Expired
FullExtNeg,1,2,95,7,Buyer,113,85,,,,Manual,Expired
FullExtNeg,1,2,98,11,Seller,103,120,,,,Manual,Expired
FullExtNeg,1,2,101,8,Seller,93,110,,,,Manual,Expired
FullExtNeg,1,2,105,6,Seller,88,100,100.0,7.0,107.0,Manual,Accepted
FullExtNeg,1,2,105,7,Buyer,113,90,,,,Manual,Replaced
FullExtNeg,1,2,107,7,Buyer,113,100,100.0,6.0,107.0,Auto,Accepted
FullExtNeg,1,2,110,11,Seller,103,140,,,,Manual,Replaced
FullExtNeg,1,2,115,8,Seller,93,100,,,,Manual,Expired
FullExtNeg,1,2,118,11,Seller,103,120,,,,Manual,Replaced
FullExtNeg,1,2,127,11,Seller,103,110,,,,Manual,Expired
FullExtNeg,1,2,130,8,Seller,93,110,,,,Manual,Expired
FullExtNeg,1,3,3,4,Seller,83,110,,,,Manual,Expired
FullExtNeg,1,3,4,11,Seller,103,110,,,,Manual,Replaced
FullExtNeg,1,3,5,12,Seller,108,115,,,,Manual,Replaced
FullExtNeg,1,3,5,10,Seller,98,200,,,,Manual,Replaced
FullExtNeg,1,3,5,6,Seller,88,100,,,,Manual,Replaced
FullExtNeg,1,3,6,8,Seller,93,110,,,,Manual,Replaced
FullExtNeg,1,3,6,0,Seller,68,125,,,,Manual,Expired
FullExtNeg,1,3,7,1,Buyer,133,50,,,,Manual,Replaced
FullExtNeg,1,3,8,13,Buyer,93,70,,,,Manual,Expired
FullExtNeg,1,3,8,3,Seller,78,200,,,,Manual,Expired
FullExtNeg,1,3,11,11,Seller,103,120,,,,Manual,Replaced
FullExtNeg,1,3,12,12,Seller,108,110,,,,Manual,Expired
FullExtNeg,1,3,12,9,Buyer,108,90,90.0,6.0,14.0,Manual,Accepted
FullExtNeg,1,3,13,8,Seller,93,120,,,,Manual,Replaced
FullExtNeg,1,3,14,1,Buyer,133,65,,,,Manual,Replaced
FullExtNeg,1,3,14,6,Seller,88,90,90.0,9.0,14.0,Auto,Accepted
FullExtNeg,1,3,14,10,Seller,98,100,,,,Manual,Expired
FullExtNeg,1,3,19,11,Seller,103,110,,,,Manual,Replaced
FullExtNeg,1,3,21,1,Buyer,133,70,,,,Manual,Replaced
FullExtNeg,1,3,21,7,Buyer,113,80,,,,Manual,Expired
FullExtNeg,1,3,21,13,Buyer,93,70,,,,Manual,Replaced
FullExtNeg,1,3,22,8,Seller,93,110,,,,Manual,Replaced
FullExtNeg,1,3,22,2,Buyer,128,70,,,,Manual,Replaced
FullExtNeg,1,3,24,0,Seller,68,110,,,,Manual,Expired
FullExtNeg,1,3,26,13,Buyer,93,85,,,,Manual,Expired
FullExtNeg,1,3,27,8,Seller,93,100,,,,Manual,Replaced
FullExtNeg,1,3,27,11,Seller,103,110,,,,Manual,Replaced
FullExtNeg,1,3,28,1,Buyer,133,75,,,,Manual,Replaced
FullExtNeg,1,3,28,4,Seller,83,110,,,,Manual,Expired
FullExtNeg,1,3,28,5,Buyer,118,50,,,,Manual,Expired
FullExtNeg,1,3,29,3,Seller,78,115,,,,Manual,Replaced
FullExtNeg,1,3,29,10,Seller,98,100,,,,Manual,Expired
FullExtNeg,1,3,30,2,Buyer,128,90,90.0,3.0,31.0,Manual,Accepted
FullExtNeg,1,3,31,3,Seller,78,90,90.0,2.0,31.0,Auto,Accepted
FullExtNeg,1,3,35,11,Seller,103,120,,,,Manual,Expired
FullExtNeg,1,3,36,8,Seller,93,100,,,,Manual,Expired
FullExtNeg,1,3,36,13,Buyer,93,70,,,,Manual,Expired
FullExtNeg,1,3,36,1,Buyer,133,80,,,,Manual,Expired
FullExtNeg,1,3,38,12,Seller,108,109,,,,Manual,Expired
FullExtNeg,1,3,39,7,Buyer,113,90,90.0,0.0,40.0,Manual,Accepted
FullExtNeg,1,3,40,0,Seller,68,100,,,,Manual,Replaced
FullExtNeg,1,3,40,0,Seller,68,90,90.0,7.0,40.0,Auto,Accepted
FullExtNeg,1,3,46,1,Buyer,133,85,,,,Manual,Expired
FullExtNeg,1,3,46,10,Seller,98,100,,,,Manual,Expired
FullExtNeg,1,3,47,8,Seller,93,100,,,,Manual,Expired
FullExtNeg,1,3,47,13,Buyer,93,85,,,,Manual,Replaced
FullExtNeg,1,3,49,11,Seller,103,130,,,,Manual,Replaced
FullExtNeg,1,3,52,13,Buyer,93,87,,,,Manual,Replaced
FullExtNeg,1,3,54,4,Seller,83,110,,,,Manual,Expired
FullExtNeg,1,3,55,11,Seller,103,110,,,,Manual,Expired
FullExtNeg,1,3,56,1,Buyer,133,88,,,,Manual,Replaced
FullExtNeg,1,3,58,13,Buyer,93,89,,,,Manual,Replaced
FullExtNeg,1,3,60,10,Seller,98,99,,,,Manual,Expired
FullExtNeg,1,3,60,5,Buyer,118,70,,,,Manual,Expired
FullExtNeg,1,3,61,1,Buyer,133,90,,,,Manual,Replaced
FullExtNeg,1,3,64,13,Buyer,93,91,,,,Manual,Expired
FullExtNeg,1,3,64,12,Seller,108,109,,,,Manual,Expired
FullExtNeg,1,3,67,11,Seller,103,120,,,,Manual,Replaced
FullExtNeg,1,3,67,1,Buyer,133,95,95.0,8.0,73.0,Manual,Accepted
FullExtNeg,1,3,73,11,Seller,103,110,,,,Manual,Replaced
FullExtNeg,1,3,73,8,Seller,93,95,95.0,1.0,73.0,Auto,Accepted
FullExtNeg,1,3,78,4,Seller,83,110,,,,Manual,Expired
FullExtNeg,1,3,79,13,Buyer,93,70,,,,Manual,Expired
FullExtNeg,1,3,80,10,Seller,98,99,,,,Manual,Expired
FullExtNeg,1,3,81,11,Seller,103,105,,,,Manual,Expired
FullExtNeg,1,3,85,5,Buyer,118,50,,,,Manual,Expired
FullExtNeg,1,3,86,12,Seller,108,109,,,,Manual,Expired
FullExtNeg,1,3,93,11,Seller,103,110,,,,Manual,Replaced
FullExtNeg,1,3,93,13,Buyer,93,70,,,,Manual,Expired
FullExtNeg,1,3,99,10,Seller,98,99,99.0,5.0,107.0,Manual,Accepted
FullExtNeg,1,3,100,11,Seller,103,106,,,,Manual,Expired
FullExtNeg,1,3,100,4,Seller,83,110,,,,Manual,Expired
FullExtNeg,1,3,107,5,Buyer,118,99,99.0,10.0,107.0,Auto,Accepted
FullExtNeg,1,3,111,11,Seller,103,120,,,,Manual,Replaced
FullExtNeg,1,3,112,4,Seller,83,110,,,,Manual,Expired
FullExtNeg,1,3,114,13,Buyer,93,75,,,,Manual,Expired
FullExtNeg,1,3,116,11,Seller,103,115,,,,Manual,Replaced
FullExtNeg,1,3,122,11,Seller,103,110,,,,Manual,Expired
FullExtNeg,1,3,126,12,Seller,108,110,,,,Manual,Expired
FullExtNeg,1,3,128,4,Seller,83,110,,,,Manual,Expired
FullExtNeg,1,3,130,13,Buyer,93,90,,,,Manual,Expired
FullExtNeg,1,4,2,4,Seller,83,110,,,,Manual,Expired
FullExtNeg,1,4,4,9,Buyer,108,85,,,,Manual,Expired
FullExtNeg,1,4,5,13,Buyer,93,70,,,,Manual,Replaced
FullExtNeg,1,4,5,8,Seller,93,100,,,,Manual,Expired
FullExtNeg,1,4,5,0,Seller,68,120,,,,Manual,Expired
FullExtNeg,1,4,8,12,Seller,108,115,,,,Manual,Expired
FullExtNeg,1,4,9,13,Buyer,93,87,,,,Manual,Expired
FullExtNeg,1,4,9,11,Seller,103,109,,,,Manual,Expired
FullExtNeg,1,4,9,2,Buyer,128,90,,,,Manual,Replaced
FullExtNeg,1,4,9,1,Buyer,133,50,,,,Manual,Expired
FullExtNeg,1,4,10,5,Buyer,118,60,,,,Manual,Expired
FullExtNeg,1,4,10,10,Seller,98,99,,,,Manual,Expired
FullExtNeg,1,4,14,3,Seller,78,150,,,,Manual,Expired
FullExtNeg,1,4,19,2,Buyer,128,70,,,,Manual,Replaced
FullExtNeg,1,4,19,1,Buyer,133,70,,,,Manual,Expired
FullExtNeg,1,4,20,4,Seller,83,110,,,,Manual,Expired
FullExtNeg,1,4,20,8,Seller,93,100,,,,Manual,Replaced
FullExtNeg,1,4,21,9,Buyer,108,85,,,,Manual,Replaced
FullExtNeg,1,4,22,11,Seller,103,108,,,,Manual,Expired
FullExtNeg,1,4,23,0,Seller,68,110,,,,Manual,Expired
FullExtNeg,1,4,24,7,Buyer,113,80,,,,Manual,Replaced
FullExtNeg,1,4,24,13,Buyer,93,75,,,,Manual,Expired
FullExtNeg,1,4,24,2,Buyer,128,50,,,,Manual,Replaced
FullExtNeg,1,4,25,10,Seller,98,99,,,,Manual,Expired
FullExtNeg,1,4,25,12,Seller,108,109,,,,Manual,Expired
FullExtNeg,1,4,27,9,Buyer,108,86,86.0,3.0,30.0,Manual,Accepted
FullExtNeg,1,4,27,8,Seller,93,150,,,,Manual,Expired
FullExtNeg,1,4,29,2,Buyer,128,80,,,,Manual,Replaced
FullExtNeg,1,4,30,3,Seller,78,86,86.0,9.0,30.0,Auto,Accepted
FullExtNeg,1,4,31,7,Buyer,113,80,,,,Manual,Replaced
FullExtNeg,1,4,35,7,Buyer,113,85,,,,Manual,Replaced
FullExtNeg,1,4,37,11,Seller,103,110,,,,Manual,Expired
FullExtNeg,1,4,37,2,Buyer,128,85,,,,Manual,Replaced
FullExtNeg,1,4,38,1,Buyer,133,40,,,,Manual,Replaced
FullExtNeg,1,4,39,8,Seller,93,101,,,,Manual,Expired
FullExtNeg,1,4,40,10,Seller,98,99,,,,Manual,Expired
FullExtNeg,1,4,42,7,Buyer,113,85,85.0,4.0,46.0,Manual,Accepted
FullExtNeg,1,4,43,2,Buyer,128,97,97.0,0.0,45.0,Manual,Accepted
FullExtNeg,1,4,44,0,Seller,68,100,,,,Manual,Replaced
FullExtNeg,1,4,45,0,Seller,68,97,97.0,2.0,45.0,Auto,Accepted
FullExtNeg,1,4,46,4,Seller,83,85,85.0,7.0,46.0,Auto,Accepted
FullExtNeg,1,4,46,1,Buyer,133,50,,,,Manual,Replaced
FullExtNeg,1,4,51,11,Seller,103,108,,,,Manual,Replaced
FullExtNeg,1,4,51,13,Buyer,93,85,,,,Manual,Expired
FullExtNeg,1,4,51,10,Seller,98,99,,,,Manual,Expired
FullExtNeg,1,4,53,5,Buyer,118,80,,,,Manual,Expired
FullExtNeg,1,4,54,8,Seller,93,101,,,,Manual,Expired
FullExtNeg,1,4,54,1,Buyer,133,40,,,,Manual,Replaced
FullExtNeg,1,4,59,1,Buyer,133,70,,,,Manual,Replaced
FullExtNeg,1,4,60,11,Seller,103,107,,,,Manual,Expired
FullExtNeg,1,4,65,10,Seller,98,99,99.0,5.0,70.0,Manual,Accepted
FullExtNeg,1,4,66,1,Buyer,133,85,,,,Manual,Expired
FullExtNeg,1,4,69,13,Buyer,93,90,,,,Manual,Replaced
FullExtNeg,1,4,70,5,Buyer,118,99,99.0,10.0,70.0,Auto,Accepted
FullExtNeg,1,4,72,8,Seller,93,97,,,,Manual,Expired
FullExtNeg,1,4,75,11,Seller,103,110,,,,Manual,Replaced
FullExtNeg,1,4,76,13,Buyer,93,75,,,,Manual,Expired
FullExtNeg,1,4,80,1,Buyer,133,50,,,,Manual,Replaced
FullExtNeg,1,4,81,6,Seller,88,90,90.0,13.0,86.0,Manual,Accepted
FullExtNeg,1,4,83,11,Seller,103,107,,,,Manual,Expired
FullExtNeg,1,4,84,8,Seller,93,98,,,,Manual,Expired
FullExtNeg,1,4,86,13,Buyer,93,90,90.0,6.0,86.0,Auto,Accepted
FullExtNeg,1,4,86,1,Buyer,133,77,,,,Manual,Replaced
FullExtNeg,1,4,93,1,Buyer,133,80,,,,Manual,Expired
FullExtNeg,1,4,97,8,Seller,93,95,,,,Manual,Expired
FullExtNeg,1,4,101,11,Seller,103,110,,,,Manual,Replaced
FullExtNeg,1,4,103,12,Seller,108,109,,,,Manual,Expired
FullExtNeg,1,4,106,1,Buyer,133,85,,,,Manual,Replaced
FullExtNeg,1,4,107,11,Seller,103,107,,,,Manual,Expired
FullExtNeg,1,4,111,8,Seller,93,98,,,,Manual,Expired
FullExtNeg,1,4,115,1,Buyer,133,90,,,,Manual,Replaced
FullExtNeg,1,4,119,11,Seller,103,110,,,,Manual,Replaced
FullExtNeg,1,4,121,1,Buyer,133,95,,,,Manual,Replaced
FullExtNeg,1,4,126,11,Seller,103,107,107.0,1.0,127.0,Manual,Accepted
FullExtNeg,1,4,127,1,Buyer,133,107,107.0,11.0,127.0,Auto,Accepted
FullExtNeg,1,4,133,8,Seller,93,100,,,,Manual,Expired
FullExtNeg,1,5,3,13,Buyer,93,75,,,,Manual,Expired
FullExtNeg,1,5,3,12,Seller,108,115,,,,Manual,Expired
FullExtNeg,1,5,4,3,Seller,78,150,,,,Manual,Expired
FullExtNeg,1,5,4,11,Seller,103,110,,,,Manual,Expired
FullExtNeg,1,5,5,9,Buyer,108,85,,,,Manual,Expired
FullExtNeg,1,5,5,0,Seller,68,120,,,,Manual,Replaced
FullExtNeg,1,5,6,10,Seller,98,200,,,,Manual,Expired
FullExtNeg,1,5,6,6,Seller,88,90,90.0,5.0,9.0,Manual,Accepted
FullExtNeg,1,5,9,5,Buyer,118,90,90.0,6.0,9.0,Auto,Accepted
FullExtNeg,1,5,13,2,Buyer,128,100,100.0,0.0,14.0,Manual,Accepted
FullExtNeg,1,5,14,0,Seller,68,100,100.0,2.0,14.0,Auto,Accepted
FullExtNeg,1,5,18,9,Buyer,108,85,,,,Manual,Replaced
FullExtNeg,1,5,18,4,Seller,83,998,,,,Manual,Expired
FullExtNeg,1,5,19,13,Buyer,93,80,,,,Manual,Expired
FullExtNeg,1,5,19,1,Buyer,133,90,,,,Manual,Expired
FullExtNeg,1,5,21,11,Seller,103,110,,,,Manual,Expired
FullExtNeg,1,5,22,3,Seller,78,125,,,,Manual,Expired
FullExtNeg,1,5,26,9,Buyer,108,85,,,,Manual,Replaced
FullExtNeg,1,5,27,10,Seller,98,100,,,,Manual,Expired
FullExtNeg,1,5,28,8,Seller,93,101,,,,Manual,Expired
FullExtNeg,1,5,30,12,Seller,108,109,,,,Manual,Expired
FullExtNeg,1,5,33,9,Buyer,108,86,,,,Manual,Expired
FullExtNeg,1,5,35,11,Seller,103,120,,,,Manual,Replaced
FullExtNeg,1,5,36,1,Buyer,133,90,,,,Manual,Expired
FullExtNeg,1,5,36,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,5,37,7,Buyer,113,85,,,,Manual,Expired
FullExtNeg,1,5,38,3,Seller,78,130,,,,Manual,Expired
FullExtNeg,1,5,41,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,5,41,13,Buyer,93,90,,,,Manual,Expired
FullExtNeg,1,5,43,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,5,44,10,Seller,98,100,,,,Manual,Expired
FullExtNeg,1,5,44,8,Seller,93,101,,,,Manual,Expired
FullExtNeg,1,5,44,11,Seller,103,108,,,,Manual,Expired
FullExtNeg,1,5,46,4,Seller,83,110,,,,Manual,Expired
FullExtNeg,1,5,47,1,Buyer,133,95,95.0,3.0,52.0,Manual,Accepted
FullExtNeg,1,5,52,3,Seller,78,95,95.0,1.0,52.0,Auto,Accepted
FullExtNeg,1,5,52,7,Buyer,113,85,,,,Manual,Replaced
FullExtNeg,1,5,56,11,Seller,103,107,,,,Manual,Expired
FullExtNeg,1,5,56,13,Buyer,93,85,,,,Manual,Replaced
FullExtNeg,1,5,57,4,Seller,83,100,,,,Manual,Replaced
FullExtNeg,1,5,58,7,Buyer,113,85,,,,Manual,Replaced
FullExtNeg,1,5,58,8,Seller,93,101,,,,Manual,Expired
FullExtNeg,1,5,62,9,Buyer,108,89,,,,Manual,Replaced
FullExtNeg,1,5,62,10,Seller,98,99,,,,Manual,Expired
FullExtNeg,1,5,63,13,Buyer,93,88,,,,Manual,Replaced
FullExtNeg,1,5,63,4,Seller,83,105,,,,Manual,Replaced
FullExtNeg,1,5,67,7,Buyer,113,85,,,,Manual,Replaced
FullExtNeg,1,5,68,11,Seller,103,110,,,,Manual,Replaced
FullExtNeg,1,5,68,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,5,70,13,Buyer,93,90,,,,Manual,Expired
FullExtNeg,1,5,71,9,Buyer,108,89,,,,Manual,Replaced
FullExtNeg,1,5,71,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,5,72,7,Buyer,113,90,,,,Manual,Replaced
FullExtNeg,1,5,73,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,5,75,11,Seller,103,108,,,,Manual,Expired
FullExtNeg,1,5,76,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,5,76,9,Buyer,108,92,,,,Manual,Expired
FullExtNeg,1,5,78,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,5,78,7,Buyer,113,91,,,,Manual,Replaced
FullExtNeg,1,5,79,10,Seller,98,99,,,,Manual,Expired
FullExtNeg,1,5,79,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,5,81,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,5,83,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,5,84,8,Seller,93,103,,,,Manual,Expired
FullExtNeg,1,5,84,7,Buyer,113,91,,,,Manual,Replaced
FullExtNeg,1,5,84,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,5,86,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,5,87,9,Buyer,108,92,,,,Manual,Replaced
FullExtNeg,1,5,88,11,Seller,103,140,,,,Manual,Expired
FullExtNeg,1,5,90,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,5,90,9,Buyer,108,95,,,,Manual,Replaced
FullExtNeg,1,5,91,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,5,92,7,Buyer,113,93,,,,Manual,Replaced
FullExtNeg,1,5,93,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,5,95,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,5,96,10,Seller,98,99,99.0,7.0,98.0,Manual,Accepted
FullExtNeg,1,5,97,9,Buyer,108,96,,,,Manual,Replaced
FullExtNeg,1,5,97,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,5,98,11,Seller,103,108,,,,Manual,Expired
FullExtNeg,1,5,98,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,5,98,7,Buyer,113,100,99.0,10.0,98.0,Manual,Replaced
FullExtNeg,1,5,104,4,Seller,83,100,,,,Manual,Replaced
FullExtNeg,1,5,104,9,Buyer,108,90,,,,Manual,Replaced
FullExtNeg,1,5,107,4,Seller,83,100,,,,Manual,Replaced
FullExtNeg,1,5,108,4,Seller,83,100,,,,Manual,Replaced
FullExtNeg,1,5,109,9,Buyer,108,99,99.0,8.0,112.0,Manual,Accepted
FullExtNeg,1,5,109,11,Seller,103,107,,,,Manual,Replaced
FullExtNeg,1,5,112,4,Seller,83,100,,,,Manual,Replaced
FullExtNeg,1,5,112,8,Seller,93,99,99.0,9.0,112.0,Auto,Accepted
FullExtNeg,1,5,116,4,Seller,83,100,,,,Manual,Replaced
FullExtNeg,1,5,117,11,Seller,103,105,,,,Manual,Expired
FullExtNeg,1,5,118,4,Seller,83,100,,,,Manual,Replaced
FullExtNeg,1,5,119,13,Buyer,93,90,,,,Manual,Expired
FullExtNeg,1,5,120,4,Seller,83,105,,,,Manual,Replaced
FullExtNeg,1,5,122,4,Seller,83,105,,,,Manual,Replaced
FullExtNeg,1,5,124,4,Seller,83,105,,,,Manual,Replaced
FullExtNeg,1,5,126,4,Seller,83,105,,,,Manual,Replaced
FullExtNeg,1,5,127,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,5,129,4,Seller,83,105,,,,Manual,Expired
FullExtNeg,1,6,3,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,6,4,13,Buyer,93,90,,,,Manual,Expired
FullExtNeg,1,6,5,3,Seller,78,150,,,,Manual,Expired
FullExtNeg,1,6,5,9,Buyer,108,89,,,,Manual,Replaced
FullExtNeg,1,6,6,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,6,7,0,Seller,68,120,,,,Manual,Expired
FullExtNeg,1,6,7,1,Buyer,133,75,,,,Manual,Expired
FullExtNeg,1,6,7,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,6,7,10,Seller,98,99,99.0,5.0,9.0,Manual,Accepted
FullExtNeg,1,6,8,8,Seller,93,108,,,,Manual,Expired
FullExtNeg,1,6,9,4,Seller,83,110,,,,Manual,Replaced
FullExtNeg,1,6,9,5,Buyer,118,99,99.0,10.0,9.0,Auto,Accepted
FullExtNeg,1,6,13,4,Seller,83,110,,,,Manual,Replaced
